Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_ltv,manual_predicted_ltv,CLV
Dearborn Park Elem School,2.0,457.0,1949.0,601.5,0.17984836050219952,0.0,626.0918594682739,2.6942415205907317,0.0,0.7005027953535903
Del Dayo Elementary School,3.0,958.0,2044.0,1934.3333333333333,0.354296927435054,0.0,1978.5769586151112,22.569056906533362,0.0,5.867954795698674
Dennis McKinna Elementary School,3.0,1156.0,2185.0,763.0,0.4442819196667491,0.0,782.6175981236873,10.50269701322557,0.0,2.7307012234386483
Depoali Middle School,5.0,1543.0,1952.0,2198.4,0.7060743889912064,0.0,2228.0280470865823,83.57005163553214,0.0,21.728213425238355
Desert Heights Elementary School,6.0,1309.0,1760.0,1311.1666666666667,0.5972349929872266,0.0,1326.5757936909088,54.944322317106774,0.0,14.285523802447761
Desert Pathways High School,1.0,35.0,661.0,3548.0,0.2549718624312268,0.0,3792.801069092862,37.029989521825975,0.0,9.627797275674753
Desert Skies Middle School,4.0,567.0,751.0,90990.6125,0.707075110616214,0.0,92420.51425325166,6846.862902616925,0.0,1780.1843546804005
Dewey High School,2.0,903.0,1690.0,30.0,0.5686251241317243,0.0,36.37763024255273,0.5667224143484507,0.0,0.14734782773059718
Dieringer Heights Elem School,2.0,34.0,561.0,12368.94,0.08546645213545373,0.0,12768.57096630978,81.29353667099879,0.0,21.136319534459687
Dieringer School District 343,4.0,386.0,547.0,1918.6775,0.6643101674188571,0.0,1951.4411534625049,178.80562776107158,0.0,46.48946321787861
Dinuba Unified School District,7.0,971.0,1940.0,5352.857142857143,0.07268605983902657,0.0,5402.029723377743,28.67065180612443,0.0,7.4543694695923515
Discovery Elementary School,1.0,210.0,1557.0,4843.0,0.2818996593743537,0.0,5173.064157692809,25.543252254825408,0.0,6.641245586254606
Dixie School District,3.0,138.0,1246.0,30128.333333333332,0.013983438581402507,0.0,30765.32557246987,22.08130535685152,0.0,5.741139392781395
Donner Springs Elementary School,6.0,722.0,2185.0,3464.3333333333335,0.011535588225438532,0.0,3502.1410175564993,2.280367710675105,0.0,0.5928956047755273
Dorothy Lemelson STEM Academy,5.0,1078.0,2164.0,702.4,0.18412359700579126,0.0,713.3143439174472,6.32325086511284,0.0,1.6440452249293385
Double Diamond Elementary,14.0,1356.0,2164.0,2556.8571428571427,0.02543308709166615,0.0,2568.942827720914,8.331516107428483,0.0,2.1661941879314055
Dry Creek Elementary School,2.0,82.0,2149.0,1511.25,0.01006774132233181,0.0,1564.836426464074,0.34337308255023613,0.0,0.0892770014630614
Dufur School District 29,1.0,15.0,876.0,298.0,0.15555059519349948,0.0,328.82034480727873,1.5246145814218448,0.0,0.39639979116967966
E Otis Vaughn Middle School,9.0,1026.0,2082.0,952.2222222222222,0.020977799367082772,0.0,959.9787709491336,1.7433192012148586,0.0,0.45326299231586326
Earl Wooster High School,7.0,1055.0,1940.0,1802.142857142857,0.12151347963950208,0.0,1819.7023865370033,16.145603826601093,0.0,4.197856994916284
East Valley School District 361,1.0,252.0,1428.0,13065.9,0.34823880223735726,0.0,13937.361726224477,92.21768124801645,0.0,23.97659712448428
Eastlake High School,3.0,1447.0,1917.0,1300.0,0.7175586024105925,0.0,1330.9074472277523,32.68564634899287,0.0,8.498268050738146
Eastside Catholic School,3.0,1100.0,1471.0,700.0,0.7143199315161963,0.0,718.2930906868976,22.556280650465,0.0,5.864632969120899
Eastside High School,16.0,1080.0,1438.0,22506.348125,0.17952732876059627,0.0,22594.23709347378,866.2972178056357,0.0,225.2372766294653
Echo Loder Elementary School,10.0,1529.0,1746.0,13221.7,0.7702450413560282,0.0,13304.939506407422,1159.3833315263562,0.0,301.4396661968526
Edmonds School District 15,3.0,772.0,920.0,1633.1333333333332,0.7868010976395234,0.0,1671.0445516316022,89.11934212879608,0.0,23.17102895348698
Edward C Reed High School,17.0,2121.0,2123.0,1378.0258823529414,0.9481956976426121,0.0,1383.6718683512256,205.7188686690346,0.0,53.486905853949
Edward Pine Middle School,10.0,1358.0,1564.0,1964.0,0.756572497530425,0.0,1977.264983109036,187.74150775597082,0.0,48.812792016552415
Edward W Van Gorder Elem Sch,14.0,1818.0,2058.0,4417.025,0.742399637975454,0.0,4437.354795116219,440.69779402725504,0.0,114.58142644708632
Edwin Dodson Elementary School,6.0,1534.0,1774.0,3307.3333333333335,0.7870869062076121,0.0,3343.5078074875014,181.13911938500019,0.0,47.09617104010005
El Capitan Middle School,10.0,1089.0,2072.0,1088.3200000000002,0.02157219426191935,0.0,1096.1420160232256,2.2737576312429533,0.0,0.5911769841231679
Elizabeth Blackwell Elem Sch,3.0,1856.0,1970.0,5165.0,0.8397274308517283,0.0,5277.164927278423,147.7777889163913,0.0,38.42222511826174
