Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn
Freedom Elementary School,0.0,0.0,1197.0,0.0,1.0,0.0
Fremont Intermediate,2.0,264.0,1695.0,2213.0,0.09456466227430467,0.0
Fremont Unified School District,1.0,36.0,1241.0,950.0,0.13131999560836866,0.0
French American School of Puget Sound,7.0,560.0,591.0,2985.1428571428573,0.8745327056597894,0.0
Fronteras Spanish Chtr Hs,1.0,366.0,1928.0,1396.0,0.3494358504846795,0.0
Fryelands Elementary School,2.0,898.0,1738.0,435.0,0.5495227412367596,0.0
Fugman Elementary School,9.0,883.0,2178.0,1082.888888888889,0.0038776646705750125,0.0
Fuller Elementary School,3.0,490.0,939.0,38142.0,0.4684441418247213,0.0
Galena High School,0.0,0.0,836.0,0.0,1.0,0.0
Garden Heights Elem School,0.0,0.0,1534.0,0.0,1.0,0.0
Gardner School,0.0,0.0,792.0,0.0,1.0,0.0
Gateway Christian Schools Poulsbo,0.0,0.0,1450.0,0.0,1.0,0.0
Gateway High School,1.0,47.0,1904.0,725.0,0.0868883826480232,0.0
Gateway Unified School District,16.0,1034.0,2185.0,820.49375,0.0001616265118346633,0.0
Genesis Collaboration,0.0,0.0,2071.0,0.0,1.0,0.0
George Hall Elementary School,4.0,625.0,2086.0,4467.5,0.048672896499776894,0.0
George L. Dilworth Middle School,4.0,1617.0,1968.0,3746.775,0.759297551612579,0.0
George Westergard Elementary School,7.0,2039.0,2124.0,525.2857142857143,0.8805360187311432,0.0
Gerlach Middle High School,0.0,0.0,1848.0,0.0,1.0,0.0
Getchell High School,2.0,1583.0,2103.0,3857.5,0.7393884115532738,0.0
Glacier Park Elem School,1.0,190.0,1968.0,1050.0,0.20461838995011117,0.0
Glacier Peak High School,1.0,14.0,884.0,1972.5,0.15217330635284168,0.0
Glendale School District 77,0.0,0.0,297.0,0.0,1.0,0.0
Glenn Duncan Elementary School,4.0,1478.0,1781.0,3471.75,0.7675847313829492,0.0
Glenwood Elementary School,1.0,54.0,2178.0,1848.0,0.0782854132519301,0.0
Glenwood School District 401,1.0,76.0,1141.0,149.0,0.20194150314348944,0.0
Gold Oak Elementary School,0.0,0.0,1603.0,0.0,1.0,0.0
Golden Plains Unified School District,0.0,0.0,1687.0,0.0,1.0,0.0
Golden Valley Unified School District,2.0,123.0,2072.0,12796.0,0.01840854020798229,0.0
Gonzaga University,0.0,0.0,591.0,0.0,1.0,0.0
Grace Lutheran School,0.0,0.0,335.0,0.0,1.0,0.0
Grace Warner Elementary School,2.0,241.0,913.0,1019.25,0.26646074008156256,0.0
Grand View Elementary School,3.0,427.0,1952.0,330.0,0.052779165768471865,0.0
Granger High School,0.0,0.0,1525.0,0.0,1.0,0.0
Granger Middle School,2.0,375.0,1847.0,975.5,0.1430720800217856,0.0
Granger School District 204,6.0,1527.0,1907.0,3354.875,0.6974164706828914,0.0
Granite Falls School District 332,21.0,1862.0,2166.0,5515.986666666667,0.4972641605771346,0.0
Grants Pass School District 7,25.0,2141.0,2185.0,823.1232000000001,0.9395991873644989,0.0
Greater Trinity Academy,0.0,0.0,94.0,0.0,1.0,0.0
Green Acres Elementary,3.0,165.0,2149.0,1298.6000000000001,0.003508914596990377,0.0
Greenbrae Elementary School,1.0,24.0,598.0,634.0,0.25352472326211783,0.0
Greenwood Elementary School,0.0,0.0,2170.0,0.0,1.0,0.0
Groner Elementary School,0.0,0.0,2159.0,0.0,1.0,0.0
Grove Elementary School,0.0,0.0,2143.0,0.0,1.0,0.0
Gus Franklin Jr. Campus,0.0,0.0,1569.0,0.0,1.0,0.0
Harbour Pointe Middle School,6.0,1051.0,1968.0,2172.3333333333335,0.16677649507491735,0.0
